actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,gameId
2,PT12M00.00S,2024-11-13T00:10:24.900Z,1,REGULAR,period,start,,0,,,0,0,0,2024-11-13T00:10:24Z,20000,False,,,0,,Period Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22400001
4,PT11M58.00S,2024-11-13T00:10:26.800Z,1,REGULAR,jumpball,recovered,,1630811,,,1610612737,0,0,2024-11-13T00:10:26Z,40000,False,,,0,,Jump Ball C. Capela vs. A. Horford: Tip to K. Wallace,"1630811, 203991, 201143",1610612737.0,ATL,startperiod,K. Wallace,1630811.0,Wallace,K. Wallace,Capela,203991.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,,22400001
7,PT11M43.00S,2024-11-13T00:10:40Z,1,REGULAR,3pt,Jump Shot,,1642258,27.4145860709593,83.578431372549,1610612737,0,0,2024-11-13T00:10:47Z,70000,False,-168.0,205.0,1,left,MISS Z. Risacher 26' 3PT - blocked,"1642258, 1628369",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,26.51,Missed,Tatum,1628369.0,,,,,,,,,,,,,,,,,22400001
8,PT11M43.00S,2024-11-13T00:10:40Z,1,REGULAR,block,,,1628369,,,1610612737,0,0,2024-11-13T00:10:42Z,80000,False,,,0,,J. Tatum BLOCK (1 BLK),1628369,1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,,22400001
9,PT11M42.00S,2024-11-13T00:10:41Z,1,REGULAR,rebound,offensive,,1642258,,,1610612737,0,0,2024-11-13T00:10:47Z,90000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:0),1642258,1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,22400001
10,PT11M38.00S,2024-11-13T00:10:46Z,1,REGULAR,2pt,Jump Shot,2ndchance,1630552,5.46977660972405,77.2058823529412,1610612737,0,0,2024-11-13T00:11:05Z,100000,False,-136.0,-1.0,1,left,MISS J. Johnson 13' driving floating bank Shot,1630552,1610612737.0,ATL,driving floating bank,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Left,13.6,Missed,,,,,,,,,,,,,,,,,,,22400001
11,PT11M37.00S,2024-11-13T00:10:47Z,1,REGULAR,rebound,defensive,,201143,,,1610612738,0,0,2024-11-13T00:10:53Z,110000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),201143,1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,8-16 Left,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,22400001
12,PT11M24.00S,2024-11-13T00:11:00.300Z,1,REGULAR,3pt,Jump Shot,,1628401,71.1727989487516,13.7254901960784,1610612738,0,0,2024-11-13T00:11:07Z,120000,False,-181.0,218.0,1,right,MISS D. White 28' 3PT,1628401,1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,28.4,Missed,,,,,,,,,,,,,,,,,,,22400001
13,PT11M22.00S,2024-11-13T00:11:02.300Z,1,REGULAR,rebound,defensive,,1630552,,,1610612737,0,0,2024-11-13T00:11:07Z,130000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),1630552,1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,22400001
14,PT11M17.00S,2024-11-13T00:11:08.900Z,1,REGULAR,turnover,traveling,,1630552,,,1610612737,0,0,2024-11-13T00:11:14Z,140000,False,,,0,,J. Johnson traveling TURNOVER (1 TO),1630552,1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,2002.0,1.0,,,,,,,,,,,22400001
